,id,player,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,points_vor,rank,floor_vor,floor_rank,ceiling_vor,ceiling_rank,espn_names,espn_id,picked,blacklist,Name,Pos,Team,Bye,%,pick,espnid,probpicked,pbest,emaxw,emax,opp,oc
14,515,Seattle Seahawks,SEA,DST,,50,DST,weighted,103.534832763585,13.0,2.93794829109891,16.9650945908163,81.0,116.97525145348801,9.0,-14.269367711174901,162.0,-14.0,147.0,-15.7474738372093,173.0,Seahawks D/ST,sea,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,100.72323169214,0.0
137,13157,Curtis Samuel,CAR,WR,24.0,3,WR,weighted,103.251324251437,57.0,5.896859898144751,17.6431866673029,88.006,126.757227272727,9.0,-23.2848252347226,200.0,-17.727333333333302,161.0,-15.1615621158201,171.0,Curtis Samuel,3121427,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,172.94657087132694,-0.0
8,509,Jacksonville Jaguars,JAC,DST,,50,DST,weighted,95.3192178355061,21.0,0.559870903387306,12.2218113308094,74.0,100.17309011627898,12.0,-22.4849826392542,194.0,-21.0,174.0,-32.549635174418604,232.0,Jaguars D/ST,jax,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,100.72323169214,-0.0
31,532,Houston Texans,HOU,DST,,50,DST,weighted,94.7168553571143,23.0,2.06193606949327,12.889070131143802,71.0,97.61793577981649,14.0,-23.087345117646,199.0,-24.0,188.0,-35.1047895108812,243.0,Texans D/ST,hou,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,100.72323169214,-0.0
205,14126,Preston Williams,MIA,WR,23.0,1,WR,weighted,104.475673131406,53.0,0.49585235663494104,26.6289489817176,68.3,131.823451957295,8.0,-22.060476354753103,192.0,-37.433333333333294,226.0,-10.095337431252,149.0,Preston Williams,3915399,False,False,Preston Williams,WR,MIA,11.0,1.0,23.0,3915399,0.0,0.0,0.0,0.0,172.94657087132694,-0.0
160,13606,Ronald Jones,TBB,RB,23.0,2,RB,weighted,104.652800600178,42.0,8.26280263680843,15.5879140066665,87.3682118948873,126.475727272727,8.0,-11.6776834158984,152.0,-12.607454771779402,143.0,-13.1616611428674,155.0,Ronald Jones II,3912550,False,False,Ronald Jones II,RB,TB,13.0,1.0,23.0,3912550,0.0,0.0,0.0,0.0,186.81474004962547,-0.0
104,12417,Josh Lambo,JAC,K,30.0,5,K,weighted,104.767240920321,16.0,1.21858987978324,22.725171745130602,76.1879583764459,122.476832298137,1.0,-5.91179658616905,128.0,-15.5519832773324,156.0,-9.120649658079302,144.0,Josh Lambo,2998120,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,101.308295097445,0.0
105,12437,Jason Myers,SEA,K,29.0,6,K,weighted,105.022224247048,15.0,0.684100818338365,22.3674712263971,78.42532115677321,126.81373652042801,1.0,-5.65681325944198,127.0,-13.314620497005,146.0,-4.7837454357877895,126.0,Jason Myers,2473037,False,False,,,,,1.0,,,0.0,0.0,0.0,0.0,101.308295097445,0.0
56,10506,Dan Bailey,MIN,K,32.0,9,K,weighted,101.860556403985,21.0,0.443580778959003,28.3424887071511,71.5422375094613,125.58235714285699,1.0,-8.81848110250532,142.0,-20.197704144317,172.0,-6.015124813358799,132.0,Dan Bailey,14322,False,False,Dan Bailey,PK,MIN,7.0,1.0,23.0,14322,0.0,0.0,0.0,0.0,101.308295097445,0.0
48,9902,Rob Gronkowski,TBB,TE,31.0,10,TE,weighted,105.427336374083,8.0,5.49360314461293,18.693764367558,86.374,131.90836363636402,5.0,11.008451052560899,82.0,4.84066666666666,91.0,21.2450447153199,67.0,Rob Gronkowski,13229,False,False,Rob Gronkowski,TE,TB,13.0,1.0,23.0,13229,0.0,0.0,0.0,0.0,158.48911069098426,-0.0
