"id","player","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"11257","Vance McDonald","PIT","TE",30,7,"TE","weighted",39.6200211515864,44,1.35822561692127,11.390265760992,30.8,55.4007558139535,9,-54.7988641699355,291,-50.7333333333333,262,-55.2625631070903,296
"11337","Darren Fells","HOU","TE",34,8,"TE","weighted",61.3346686838124,28,0.944782121523751,12.229745743474,37.034,68.8483944954128,8,-33.0842166377095,225,-44.4993333333333,244,-41.8149244256309,262
"11367","Kyle Juszczyk","SFO","RB",29,7,"RB","weighted",37.3915450614092,89,1.39575378906433,8.43573212877891,28.346,46.5847093023256,11,-78.2978116821386,373,-71.6296666666667,322,-93.6835584530025,411
"11381","Luke Willson","SEA","TE",30,7,"TE","weighted",14.7409538926682,84,0.559554807536147,6.2154743393466,9.141,21.6562727272727,11,-79.6779314288537,378,-72.3923333333333,327,-89.007046193771,393
"11387","Dustin Hopkins","WAS","K",30,7,"K","weighted",96.2900513764016,26,1.58388134949828,22.263537726305,69.3380314277921,117.071023291925,2,-14.389734415176,163,-22.4019102259862,180,-14.5264586642905,163
"11390","Latavius Murray","NOS","RB",30,7,"RB","weighted",112.994171181141,37,1.54234618646626,16.9445505679792,97.727,137.507632618418,7,-2.69518556240718,111,-2.24866666666667,113,-2.76063513690977,122
"11399","Ryan Griffin","NYJ","TE",30,7,"TE","weighted",45.6687735753908,39,3.77945159059794,23.5345168498651,21.199,76.4971886120996,9,-48.7501117461311,271,-60.3343333333333,279,-34.1661303089441,237
"11441","Ryan Griffin","TBB","QB",31,7,"QB","weighted",0.263,76,0.083,NA,0.263,0.263,15,-263.263166759947,677,-243.510333333333,642,-296.282255533545,679
"11448","Demetrius Harris","CHI","TE",29,7,"TE","weighted",21.2001327849589,67,0.45576375132897,8.80806507158723,14.6,32.4603197674419,10,-73.218752536563,346,-66.9333333333333,305,-78.2029991536019,360
"11454","C.J. Anderson","FA","RB",29,7,"RB","weighted",47.5,82,2.15548079360839,NA,47.5,47.5,11,-68.1893567435478,328,-52.4756666666667,265,-92.7682677553281,407
